Web Search interest: migrant; refugee
Worldwide; Past 30 days

Interest over time
Day,migrant,refugee
2015-08-29,9,13
2015-08-30,8,13
2015-08-31,10,15
2015-09-01,13,17
2015-09-02,23,30
2015-09-03,56,85
2015-09-04,45,100
2015-09-05,34,79
2015-09-06,28,75
2015-09-07,27,73
2015-09-08,25,62
2015-09-09,26,72
2015-09-10,23,67
2015-09-11,20,54
2015-09-12,16,48
2015-09-13,19,45
2015-09-14,19,49
2015-09-15,20,46
2015-09-16,22,49
2015-09-17,23,52
2015-09-18,21,44
2015-09-19,15,35
2015-09-20,15,37
2015-09-21,15,37
2015-09-22,15,34
2015-09-23,13,32
2015-09-24,14,28
2015-09-25,11,24
2015-09-26,0,0
2015-09-27, , 
2015-09-28, , 


Top regions for migrant
Region,migrant,refugee
France,100,0
United Kingdom,90,75
Canada,46,59
Australia,42,75
United States,26,27
India,12,12
Germany,0,12
Ireland,0,100
New Zealand,0,92
Philippines,0,36

Top regions for refugee
Region,migrant,refugee
Ireland,0,100
New Zealand,0,92
United Kingdom,90,75
Australia,42,75
Canada,46,59
Philippines,0,36
United States,26,27
India,12,12
Germany,0,12
France,100,0


Top cities for migrant
City,migrant
Paris (France),100
Lyon (France),85
London (United Kingdom),85
Dublin (Ireland),73
Toronto (Canada),43
Singapore (Singapore),39
Sydney (Australia),38
Melbourne (Australia),35
New York (United States),29

Top cities for refugee
City,refugee
Dublin (Ireland),100
Auckland (New Zealand),100
Ottawa (Canada),93
London (United Kingdom),84
Sydney (Australia),79
Vancouver (Canada),76
Melbourne (Australia),75
Toronto (Canada),73
Perth (Australia),73
Calgary (Canada),71
Brisbane (Australia),64
Washington (United States),34
Quezon City (Philippines),34
Singapore (Singapore),32
New York (United States),31



Top searches for migrant
migrant crisis,100
migrant europe,30
migrants,25
migrant refugee,20
migrant crisis europe,20
refugee,20
the migrant crisis,20
migrant news,15
immigrant migrant,15
immigrant,15
definition migrant,15
migrant workers,15
photo migrant,10
european migrant crisis,10
enfant migrant,10
hungary migrant,10
migrant france,5
refugee crisis,5
migrant boy,5
bbc migrant crisis,5
migrant calais,5
eu migrant crisis,5
syrian migrant crisis,5
syria migrant crisis,5
hungary migrant crisis,5
migrant mort,5
emigrant,5
migrant meaning,5
migrant emigrant,5
charlie hebdo migrant,5
germany migrant crisis,5
charlie hebdo,5
migrant mother,5
refugee definition,5
migrant worker,5
photo enfant migrant,5
define migrant,5
migrant syrien,5
economic migrant,5
definition of migrant,5


Top searches for refugee
refugee crisis,100
syrian,70
syrian refugee,65
refugees,45
syria refugee,25
syria,25
refugee europe,25
syrian crisis,25
syrian refugee crisis,25
the refugee crisis,15
syrian refugees,15
refugee news,15
europe refugee crisis,15
refugee camp,15
germany refugee,10
what is refugee,10
definition refugee,10
migrant,10
migrant refugee,10
refugee boy,10
refugee camps,10
refugee in europe,10
european refugee,10
syria crisis,10
syria refugee crisis,10
refugee child,10
refugee help,10
hungary refugee,10
isis refugee,10
google refugee,10
refugee canada,10
hungary,10
asylum,5
refugee map,5
refugee meaning,5
australia refugee,5
european refugee crisis,5
refugee children,5
syria refugees,5
refugee council,5
refugee crisis news,5
un refugee,5
syrian boy,5
syrian refugee boy,5
eu refugee,5
immigrant,5
refugee in germany,5
refuge,5
unhcr,5
refugee crisis 2015,5



Rising searches for migrant
photo migrant,Breakout
migrant crisis,+200%
migrant crisis europe,+180%
european migrant crisis,+170%
migrant refugee,+170%
the migrant crisis,+170%
migrant europe,+140%
refugee,+140%
migrants,+70%
migrant news,+60%


Rising searches for refugee
syrian crisis,+1000%
syrian refugee crisis,+750%
refugee crisis,+550%
the refugee crisis,+450%
syrian refugee,+400%
syria,+350%
syria refugee,+350%
syrian,+350%
syrian refugees,+350%
refugee europe,+170%



This file was generated using Google Trends.